ID_Registro_Fundo;ID_Registro_Classe;CNPJ_Classe;Codigo_CVM;Data_Registro;Data_Constituicao;Data_Inicio;Tipo_Classe;Denominacao_Social;Situacao;Data_Inicio_Situacao;Classificacao;Indicador_Desempenho;Classe_Cotas;Classificacao_Anbima;Tributacao_Longo_Prazo;Entidade_Investimento;Permitido_Aplicacao_CemPorCento_Exterior;Classe_ESG;Forma_Condominio;Exclusivo;Publico_Alvo;Patrimonio_Liquido;Data_Patrimonio_Liquido;CNPJ_Auditor;Auditor;CNPJ_Custodiante;Custodiante;CNPJ_Controlador;Controlador
349;34532;00332266000131;8907;2025-06-27;2025-06-27;2025-06-27;Classes de Cotas de Fundos FII;VIA PARQUE SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-27;;;;;;;;N;Fechado;;;258037314.58;2026-07-31;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;07253654000176;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;
351;34533;00613094000174;6645;2025-06-06;2025-06-06;2025-06-06;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;Em Funcionamento Normal;2025-06-06;;;;;;;;N;Fechado;;;-27306336.01;2026-07-31;13859935000170;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;45246410000155;BANCO GENIAL S.A.;;
352;34534;00762723000128;8915;2025-06-05;2025-06-05;2025-06-05;Classes de Cotas de Fundos FII;CENTRO TÊXTIL INTERNACIONAL FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-05;;;;;;;;N;Fechado;;;96509765.35;2026-07-31;10830108000165;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;;;;
356;34535;00868235000108;8923;2025-06-05;2025-06-05;2025-06-05;Classes de Cotas de Fundos FII;HERMES FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-05;;;;;;;;N;Fechado;;;122668588.57;2026-08-31;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;;;;
365;34536;01201140000190;8931;2025-06-18;2025-06-18;2025-06-18;Classes de Cotas de Fundos FII;GRAND PLAZA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-18;;;;;;;;N;Fechado;;;521436008.46;2026-07-31;10830108000165;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;;;;
368;34537;01235622000161;6653;2024-12-18;2024-12-18;2024-12-18;Classes de Cotas de Fundos FII;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO -  RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-12-18;;;;;;;;N;Fechado;;;4004146606.96;2026-07-31;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;13486793000142;APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;
380;34538;01497954000114;14656;2025-06-17;2025-06-17;2025-06-17;Classes de Cotas de Fundos FII;FII MISTRAL;Em Funcionamento Normal;2025-06-17;;;;;;;;N;Fechado;;;163852186.77;2026-07-31;89859466000150;CONFIDOR AUDITORES ASSOCIADOS;;;;
388;34539;01601918000159;8940;2025-06-26;2025-06-26;2025-06-26;Classes de Cotas de Fundos FII;FORTALEZA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-26;;;;;;;;N;Fechado;;;47370834.65;2026-07-31;10830108000165;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;;;;
390;34540;01633741000172;12572;2025-08-01;2025-08-01;2025-08-01;Classes de Cotas de Fundos FII;FII MEMORIAL OFFICE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-08-01;;;;;;;;N;Fechado;;;22832894.50;2026-07-31;54080721000188;CLA - CLIFTON LARSON ALLEN BRASIL AUDITORES INDEPENDENTES S/S LTDA;07253654000176;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;
391;34541;01636325000128;5959;2025-06-05;2025-06-05;2025-06-05;Classes de Cotas de Fundos FII;PÁTEO MOINHOS DE VENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-05;;;;;;;;N;Fechado;;;308608026.33;2026-07-31;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;;
392;34542;01657856000105;8958;2025-06-27;2025-06-27;2025-06-27;Classes de Cotas de Fundos FII;SCP FII - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-27;;;;;;;;N;Fechado;;;41463691.42;2026-07-31;40221974000110;ECOVIS WFA AUDITORES INDEPENDENTES S/S;44077014000189;BR-CAPITAL DTVM S.A.;;
410;34543;02508235000114;8966;2025-06-26;2025-06-26;2025-06-26;Classes de Cotas de Fundos FII;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-26;;;;;;;;N;Fechado;;;262424523.13;2026-07-31;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;;;;
415;34544;03251720000118;7650;2025-06-11;2025-06-11;2025-06-11;Classes de Cotas de Fundos FII;PROJETO ÁGUA BRANCA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-11;;;;;;;;N;Fechado;;;268631047.68;2026-07-31;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;;
417;34545;03507519000159;8974;2025-06-12;2025-06-12;2025-06-12;Classes de Cotas de Fundos FII;SHOPPING PÁTIO HIGIENÓPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-12;;;;;;;;N;Fechado;;;628839781.49;2026-07-31;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;;;;
